"OBJECTID","STOP_UID","STOP_AGENCY","STOP_ID","STOP_NAME","STOP_LAT","STOP_LON","STOP_CODE","LOCATION_TYPE","PARENT_STATION","WHEELCHAIR_BOARDING","INTERSECTION_CODE","STOP_PLACE","LONGITUDE","LATITUDE"
3506,MTS_60140,MTS,60140,Imperial Beach Bl & Florida St,32.57663979,-117.10916891,60140,0,,1,N-W/B,,-117.109157030997,32.5766350474859
3507,MTS_60141,MTS,60141,Palm Av & 12th St,32.5840804,-117.10792006,60141,0,,1,N-W/B,,-117.107908179157,32.5840756561973
3508,MTS_60143,MTS,60143,Palm Av & 13th St,32.58405639,-117.1054461,60143,0,,1,N-W/B,,-117.105434214854,32.5840516378838
3509,MTS_60144,MTS,60144,Coronado Av & Atwater St,32.57663404,-117.0997,60144,0,,1,M-Street-W/B,,-117.09968812256,32.5766292881305
3510,MTS_60145,MTS,60145,Palm Av & 16th St,32.58403888,-117.09923888,60145,0,,1,N-W/B,,-117.099226995597,32.5840341331347
3511,MTS_60146,MTS,60146,Satellite Bl & Thermal Av,32.56928266,-117.09638992,60146,0,,2,N-W/B,,-117.096378041415,32.5692779113722
3512,MTS_60148,MTS,60148,F St & Broadway,32.63776559,-117.09294105,60148,0,,1,F-W/B,,-117.092929170967,32.6377608349632
3513,MTS_60149,MTS,60149,Palm Av & Hollister St (Palm Av Trolley Stn),32.58394753,-117.08364573,60149,0,,1,N-W/B,plmtro,-117.083633856082,32.5839427833148
3514,MTS_60150,MTS,60150,Tocayo Av & 2362,32.56427829,-117.08218773,60150,0,,2,M-Street-W/B,,-117.082175854693,32.5642735450838
3515,MTS_60151,MTS,60151,Main St & Jacqua St,32.59494062,-117.0801067,60151,0,,1,N-W/B,,-117.080094820467,32.5949358734098
3516,MTS_60152,MTS,60152,Coronado Av & Outer Rd,32.57660405,-117.08032381,60152,0,,1,N-W/B,,-117.080311931656,32.576599303834
3517,MTS_60153,MTS,60153,Broadway & Silvas St,32.59491858,-117.07684674,60153,0,,1,N-W/B,,-117.076834866615,32.5949138255715
3518,MTS_60154,MTS,60154,Iris Av & 27th St,32.56921298,-117.07507073,60154,0,,1,N-W/B,,-117.075058857383,32.56920823028
3519,MTS_60155,MTS,60155,Coronado Av & Madden Av,32.57658199,-117.07090671,60155,0,,1,N-N/B,,-117.070894834946,32.5765772387491
3520,MTS_60156,MTS,60156,Palm Av & Hawaii Av,32.58395525,-117.06607978,60156,0,,1,N-W/B,,-117.066067901866,32.5839505008527
3521,MTS_60157,MTS,60157,Palm Av & Beyer Wy,32.58389348,-117.06086881,60157,0,,1,N-W/B,beypal,-117.060856939381,32.5838887248896
