,Neighborhood,Unnamed: 0.1.1.1,closed,closed_date,coordinates,duplicate_verified,lat,long,mobile_web_status,open,override_duplicate,requested_datetime,sap_problem_type,service_name,status_description,Duration to Close (Hrs),Neighborhood Prices
15269,Fox Canyon,2403.0,1.0,2017-04-18 00:02:00,32.74380655518069-117.0923199298471,0.0,32.7438065552,-117.09231993,Closed,0.0,0.0,2017-03-15 17:12:00,Pothole,Pothole,Closed,798.8333333333335,0.0
15272,Barrio Logan,2441.0,1.0,2017-04-12 00:03:00,32.68640131252023-117.125356027105,1.0,32.6864013125,-117.12535602700001,Closed,0.0,1.0,2017-03-15 10:51:00,Pothole,Pothole,Closed,661.2,0.0
15278,Cortez,2495.0,1.0,2017-05-18 00:02:00,32.71990598260035-117.1565712693836,0.0,32.719905982600004,-117.156571269,Closed,0.0,0.0,2017-03-14 13:38:00,Pothole,Pothole,Closed,1546.4,0.0
15280,Ocean Beach,2509.0,1.0,2017-04-25 00:02:00,32.7499155-117.24317250000001,0.0,32.7499155,-117.24317250000001,Closed,0.0,1.0,2017-03-14 11:30:00,Pothole,Pothole,Closed,996.5333333333333,0.0
15281,Ocean Beach,2511.0,1.0,2017-04-25 00:02:00,32.74558270000001-117.24685999999997,0.0,32.7455827,-117.24686000000001,Closed,0.0,1.0,2017-03-14 11:27:00,Pothole,Pothole,Closed,996.5833333333335,0.0
15285,Balboa Park,2536.0,1.0,2017-04-18 00:02:00,32.73771273284831-117.13415889663696,0.0,32.7377127328,-117.134158897,Closed,0.0,1.0,2017-03-13 21:38:00,Pothole,Pothole,Closed,842.4,0.0
15288,Fairmont Village,2596.0,1.0,2017-04-06 00:03:00,32.74958472967811-117.0971421016369,0.0,32.7495847297,-117.097142102,Closed,0.0,0.0,2017-03-13 11:49:00,Pothole,Pothole,Closed,564.2333333333332,0.0
15290,City Heights,2601.0,1.0,2017-03-31 00:03:00,32.729913-117.10260800000003,0.0,32.729913,-117.102608,Closed,0.0,0.0,2017-03-13 11:07:00,Pothole,Pothole,Closed,420.9333333333333,0.0
15303,City Heights,2715.0,1.0,2017-03-31 00:03:00,32.75517226680945-117.1222205238071,0.0,32.755172266799995,-117.122220524,Closed,0.0,0.0,2017-03-12 07:42:00,Pothole,Pothole,Closed,448.35,0.0
15308,La Jolla Village,2757.0,1.0,2017-05-17 00:02:00,32.87176540125095-117.2337798961599,0.0,32.8717654013,-117.233779896,Closed,0.0,0.0,2017-03-11 14:03:00,Pothole,Pothole,Closed,1593.9833333333331,0.0
