,status_description,mobile_web_status,duplicate_verified,override_duplicate,requested_datetime,closed_date,open,closed,service_name,coordinates,lat,long,sap_problem_type
50416,Assigned,In process,0,0,2017-01-20T07:35:00,,1,0,Pothole,32.7686025-117.0869022,32.7686025,-117.08690220000001,Pothole
50443,Assigned,In process,0,0,2017-01-19T21:17:00,,1,0,Pothole,32.928856-117.15839,32.928856,-117.15839,Pothole
50448,Assigned,In process,0,0,2017-01-19T21:04:00,,1,0,Pothole,32.751187-117.079373,32.751187,-117.079373,Pothole
50496,Assigned,In process,0,0,2017-01-19T17:45:00,,1,0,Pothole,32.821805361209755-117.14892936016716,32.8218053612,-117.14892936,Pothole
50497,Assigned,In process,0,0,2017-01-19T17:42:00,,1,0,Pothole,32.82029877954583-117.17613306999891,32.8202987795,-117.17613307,Pothole
50498,Assigned,In process,0,0,2017-01-19T17:34:00,,1,0,Pothole,32.814323-117.1788203,32.814323,-117.1788203,Pothole
50516,Assigned,In process,0,0,2017-01-19T16:46:00,,1,0,Pothole,32.751051-117.23673,32.751051000000004,-117.23673000000001,Pothole
50577,Assigned,In process,0,0,2017-01-19T14:58:00,,1,0,Pothole,32.762671319244944-117.20812349243164,32.7626713192,-117.20812349200001,Pothole
50596,Assigned,In process,0,1,2017-01-19T14:06:00,,1,0,Pothole,32.92503389029038-117.14401748938901,32.9250338903,-117.14401748899999,Pothole
50605,Assigned,In process,0,1,2017-01-19T13:48:00,,1,0,Pothole,32.91271872925344-117.143892297879,32.912718729299996,-117.143892298,Pothole
50606,Assigned,In process,0,0,2017-01-19T13:46:00,,1,0,Pothole,32.8034183645875-117.01773054720464,32.8034183646,-117.01773054700001,Pothole
50608,Assigned,In process,0,1,2017-01-19T13:42:00,,1,0,Pothole,32.82753879207552-117.09847604970702,32.8275387921,-117.09847605,Pothole
50677,Assigned,In process,0,0,2017-01-19T11:27:00,,1,0,Pothole,32.82141355517552-117.1549704661012,32.8214135552,-117.15497046600001,Pothole
50732,Assigned,In process,0,0,2017-01-19T09:17:00,,1,0,Pothole,34.3961648-117.3105873,34.3961648,-117.3105873,Pothole
50816,Assigned,In process,0,0,2017-01-18T20:37:00,,1,0,Pothole,32.95333101255991-117.22888110799795,32.9533310126,-117.228881108,Pothole
50830,Assigned,In process,0,1,2017-01-18T19:22:00,,1,0,Pothole,32.91713743324383-117.1202297669942,32.917137433200004,-117.12022976700001,Pothole
50867,Assigned,In process,0,0,2017-01-18T17:09:00,,1,0,Pothole,32.77571144581296-117.14109762435913,32.7757114458,-117.141097624,Pothole
50880,Assigned,In process,0,0,2017-01-18T16:48:00,,1,0,Pothole,32.97976714658979-117.079053015065,32.9797671466,-117.079053015,Pothole
50881,Assigned,In process,0,0,2017-01-18T16:48:00,,1,0,Pothole,32.71985975221234-117.1620332781655,32.7198597522,-117.162033278,Pothole
50896,Assigned,In process,0,0,2017-01-18T16:33:00,,1,0,Pothole,32.821068324552805-117.1450382927597,32.8210683246,-117.145038293,Pothole
50959,Assigned,In process,0,0,2017-01-18T15:22:00,,1,0,Pothole,32.8096536-117.0121846,32.809653600000004,-117.01218459999998,Pothole
50967,Assigned,In process,0,0,2017-01-18T15:07:00,,1,0,Pothole,32.8917558-117.241156,32.8917558,-117.241156,Pothole
50992,Assigned,In process,0,0,2017-01-18T14:21:00,,1,0,Pothole,32.75250282332914-117.2300598162939,32.7525028233,-117.23005981600001,Pothole
50993,Assigned,In process,0,0,2017-01-18T14:20:00,,1,0,Pothole,32.75068844908388-117.238882916701,32.7506884491,-117.23888291700001,Pothole
51000,Assigned,In process,0,0,2017-01-18T14:10:00,,1,0,Pothole,32.720622987765594-117.16557292861938,32.7206229878,-117.16557292899999,Pothole
51028,Assigned,In process,0,1,2017-01-18T13:28:00,,1,0,Pothole,32.83264071176043-117.16455595665347,32.832640711799996,-117.164555957,Pothole
51029,Assigned,In process,0,0,2017-01-18T13:27:00,,1,0,Pothole,32.826885389211846-117.11439638061523,32.8268853892,-117.114396381,Pothole
51063,Assigned,In process,0,0,2017-01-18T12:42:00,,1,0,Pothole,32.817926353930886-117.18527780521197,32.8179263539,-117.185277805,Pothole
51082,Assigned,In process,0,0,2017-01-18T12:03:00,,1,0,Pothole,32.7928907288407-117.0882523757614,32.7928907288,-117.088252376,Pothole
51094,Assigned,In process,0,0,2017-01-18T11:51:00,,1,0,Pothole,32.91651306069355-117.1358135790877,32.916513060700005,-117.135813579,Pothole
51097,Assigned,In process,0,0,2017-01-18T11:49:00,,1,0,Pothole,32.816866054854906-117.17059606147338,32.8168660549,-117.170596061,Pothole
51105,Assigned,In process,0,0,2017-01-18T11:40:00,,1,0,Pothole,32.83290300670608-117.1310248466912,32.8329030067,-117.131024847,Pothole
51160,Assigned,In process,1,1,2017-01-18T10:36:00,,1,0,Pothole,32.74879125115206-117.0794473897802,32.7487912512,-117.07944739,Pothole
